,,,,,,,"CLIENTE:","=$CAPA.G27",,,," PROJETO:","=$CAPA.A31",,,"VERIFICADO:","ALEXANDRE MANDUCA",
,,,,,,,,,,,,,,,,"APROVADO:","GIANCARLO BORGES AVELAR",
,,,,,,,"TÍTULO:","LISTA DE INSTRUMENTO 
MOAGEM DE CIMENTO Z2",,,,"Nº. CLIENTE:","=$CAPA.J38",,,"FOLHA:","REVISÃO:","=$CAPA.Q24"
,,,,,,,,,,,,"Nº. SM&A:","=$CAPA.K19",,,," DATA: ","=$CAPA.K24"
"ITEM","TAG VC","TAG SINOMA","EQUIPAMENTO","FUNÇÃO","INSTRUMENTO","TIPO DE SINAL","RANGE 
MÍNIMO","RANGE MÁXIMO","FABRICANTE","MODELO","QTY","FORNECEDOR","PAINEL PARA INTERLIGAÇÃO","MATERIAL PARA MONTAGEM","FOLHA DE DADOS","COMENTÁRIOS",,"REV."
1,"Z2J08LSH","-","REGUEIRA DE SAÍDA DO MOINHO - Z2J08","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","150mm","300mm","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-107","-",,1
"=A6+1","Z2J10LSH","571BE01.LS1"," ELEVADOR DE CANECAS - Z2J10","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","E+H","FTE20-AA11AA31",1,"SINOMA","Z2RM5","-","-","-",,1
"=A7+1","Z2J10M2SE","571BE01.M2.SS1"," ELEVADOR DE CANECAS - Z2J10","SENSOR DO MOTOR AUXILIAR 
VIGIA DE VELOCIDADE","SENSOR INDUTIVO NAMUR","120Vca","-","-","IFM","IG5497+ECV004
DD0203",1,"SINOMA","Z2RM5","-","-","-",,1
"=A8+1","Z2J10SE1","571BE01.SS1","ELEVADOR DE CANECAS - Z2J10","SENSOR 1 - PÉ DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider"," XSAV11801",1,"SINOMA","Z2RM5","-","-","-",,1
"=A9+1","Z2J10SE1CX","-"," ELEVADOR DE CANECAS - Z2J10","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A10+1","Z2J10SE2","-"," ELEVADOR DE CANECAS - Z2J10","SENSOR 2 - PÉ DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-103","-",,1
"=A11+1","Z2J10SE2CX","-"," ELEVADOR DE CANECAS - Z2J10","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A12+1","Z2J10SE3","-"," ELEVADOR DE CANECAS - Z2J10","SENSOR - TOPO DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-103","-",,1
"=A13+1","Z2J10SE3CX","-"," ELEVADOR DE CANECAS - Z2J10","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A14+1","Z2J10TSH","571BE01.TS1"," ELEVADOR DE CANECAS - Z2J10","TEMPERATURA ÓLEO ACOPLAMENTO ELEVADOR Z2J10","SENSOR TEMPERATURA","120Vca","-","-","Schneider","XCMD2102L1",1,"SINOMA","Z2RM5","-","-","-",,1
"=A15+1","Z2J10XT1","-"," ELEVADOR DE CANECAS - Z2J10","VIBRAÇÃO DO MANCAL DO MOTOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-106","-",,1
"=A16+1","Z2J10XT2","-"," ELEVADOR DE CANECAS - Z2J10","VIBRAÇÃO DO MANCAL DO REDUTOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-106","-",,1
"=A17+1","Z2J10ZSH1","571BE01.XS1"," ELEVADOR DE CANECAS - Z2J10","ESTICAMENTO NO PÉ ","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XS630B1MAL2",1,"SINOMA","Z2RM5","-","-","-",,5
"=A18+1","Z2J10ZSH2","571BE01.XS1"," ELEVADOR DE CANECAS - Z2J10","ESTICAMENTO NO TOPO","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XS630B1MAL2",1,"SINOMA","Z2RM5","-","-","-",,5
"=A19+1","Z2J10M1TE1","571BE01.M1.TS1","TEMPERATURA FASE R - Z2J10","Motor Winding Temperature",,"PT100",,,"SIEMENS","PENDENTE SINOMA",1,"SINOMA","Z2RM5","-","-","-",,5
"=A20+1","Z2J10M1TE2","571BE01.M1.TS2","TEMPERATURA FASE S - Z2J10","Motor Winding Temperature",,"PT100",,,"SIEMENS","PENDENTE SINOMA",1,"SINOMA","Z2RM5","-","-","-",,5
"=A21+1","Z2J10M1TE3","571BE01.M1.TS3","TEMPERATURA FASE T- Z2J10","Motor Winding Temperature",,"PT100",,,"SIEMENS","PENDENTE SINOMA",1,"SINOMA","Z2RM5","-","-","-",,5
"=A22+1","Z2J11LSH","-","REGUEIRA DE SAÍDA DO ELEVADOR DE CANECAS - Z2J11","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","150mm","300mm","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-107","-",,1
"=A23+1","Z2J16ZSH","-","VÁLVULA DUPLO FLAP - Z2J16","ABERTO SUPERIOR","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-103","-",,1
"=A24+1","Z2J16ZSL","-","VÁLVULA DUPLO FLAP - Z2J16","ABERTO INFERIOR","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-103","-",,1
"=A25+1","Z2J18LSH","571BE02.LS1","ELEVADOR DE CANECAS - Z2J18","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","E+H","FTE20-AA11AA31",1,"SINOMA","Z2RM7","-","-","-",,1
"=A26+1","Z2J18M1TSH","571BE02.TS1","ELEVADOR DE CANECAS - Z2J18","TEMPERATURA ÓLEO ACOPLAMENTO ELEVADOR Z2J18","SENSOR TEMPERATURA","120Vca","-","-","Schneider","XCMD2102L1",1,"SINOMA","Z2RM7","-","-","-",,1
"=A27+1","Z2J18M2SE","571BE02.M2.SS1","ELEVADOR DE CANECAS - Z2J18","SENSOR DO MOTOR AUXILIAR 
VIGIA DE VELOCIDADE","SENSOR INDUTIVO NAMUR","120Vca","-","-","IFM","IG5497+ECV004
DD0203",1,"SINOMA","Z2RM7","-","-","-",,1
"=A28+1","Z2J18SE1","571BE02.SS1","ELEVADOR DE CANECAS - Z2J18","SENSOR 1 - PÉ DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider"," XSAV11801",1,"SINOMA","Z2RM7","-","-","-",,1
"=A29+1","Z2J18SE1CX","-","ELEVADOR DE CANECAS - Z2J18","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A30+1","Z2J18SE2","-","ELEVADOR DE CANECAS - Z2J18","SENSOR 2 - PÉ DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-103","-",,1
"=A31+1","Z2J18SE2CX","-","ELEVADOR DE CANECAS - Z2J18","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A32+1","Z2J18SE3","-","ELEVADOR DE CANECAS - Z2J18","SENSOR - TOPO DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-103","-",,1
"=A33+1","Z2J18SE3CX","-","ELEVADOR DE CANECAS - Z2J18","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A34+1","Z2J18XT1","-","ELEVADOR DE CANECAS - Z2J18","VIBRAÇÃO DO MANCAL DO MOTOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-106","-",,1
"=A35+1","Z2J18XT2","-","ELEVADOR DE CANECAS - Z2J18","VIBRAÇÃO DO MANCAL DO REDUTOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-106","-",,1
"=A36+1","Z2J18ZSH1","571BE02.XS1","ELEVADOR DE CANECAS - Z2J18","ESTICAMENTO NO PÉ","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XS630B1MAL2",1,"SINOMA","Z2RM7","-","-","-",,5
"=A37+1","Z2J18ZSH2","571BE02.XS1","ELEVADOR DE CANECAS - Z2J18","ESTICAMENTO NO TOPO","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XS630B1MAL2",1,"SINOMA","Z2RM7","-","-","-",,5
"=A38+1","Z2J19LSH","-","REGUEIRA DE SAÍDA DA VÁLVULA SEPARADOR - Z2J19","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","150mm","300mm","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-107",,,1
"=A39+1","Z2J33SE","571RF03.SS1","VÁLVULA ROTATIVA - Z2J33","VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XSAV11801",1,"SINOMA","Z2RM3","-","-","-",,1
"=A40+1","Z2J33SECX","-","VÁLVULA ROTATIVA - Z2J33","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A41+1","Z2J34SE","571SC01.SS1","ROSCA TRANSPORTADORA - Z2J34","VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XSAV11801",1,"SINOMA","Z2RM3","-","-","-",,1
"=A42+1","Z2J34SECX","-","ROSCA TRANSPORTADORA - Z2J34","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A43+1","Z2K01FT1","571WS01.FZ1","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","VAZÃO DE ÁGUA DO SISTEMA DE INJEÇÃO DE ÁGUA PARA MOINHO","TRANSMISSOR DE VAZÃO ","4-20 mA","0 m3/h","15 m3/h","SIEMENS","SITRANS FM MAG 5100 W",1,"SINOMA","Z2RM2","-","-","-",,1
"=A44+1","Z2K01FT2","571WS01.FZ2","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","VAZÃO DE ÁGUA DO SISTEMA DE INJEÇÃO DE ÁGUA PARA MOINHO","TRANSMISSOR DE VAZÃO ","4-20 mA","0 m3/h","15 m3/h","SIEMENS","SITRANS FM MAG 5000",1,"SINOMA","Z2RM2","-","-","-",,1
"=A45+1","Z2K01LSH","571WS01.LS1","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","NÍVEL ALTO DO TANQUE DE ÁGUA","CHAVE DE NÍVEL 
TIPO BOIA","120Vca","-","-","SUPMEA","P260-B",1,"SINOMA","Z2RM2","-","-","Um sensor, três posições",,1
"=A46+1","Z2K01LSL","571WS01.LS2","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","NÍVEL BAIXO DO TANQUE DE ÁGUA","CHAVE DE NÍVEL 
TIPO BOIA","120Vca","-","-",,,,,,,,,,
"=A47+1","Z2K01LSLL","571WS01.LS3","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","NÍVEL MUITO BAIXO DO TANQUE DE ÁGUA","CHAVE DE NÍVEL 
TIPO BOIA","120Vca","-","-",,,,,,,,,,
"=A48+1","Z2K01PSL","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","PRESSÃO BAIXA LINHA DE AR","PRESSOSTATO","120Vca","-","-","TELEMECANIQUE","XMLB010A2S11",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-122","-",,1
"=A49+1","Z2K01PT1","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","PRESSÃO DE ÁGUA DO SISTEMA DE INJEÇÃO DE ÁGUA PARA MOINHO","TRANSMISSOR DE PRESSÃO ","4-20 mA","0 bar","2,5 bar","SIEMENS","7MF0350-1G01-5BFO-Z",1,"SINOMA","Z2RM2","-","-","-",,1
"=A50+1","Z2K01PT2","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","PRESSÃO DE ÁGUA DO SISTEMA DE INJEÇÃO DE ÁGUA PARA MOINHO","TRANSMISSOR DE PRESSÃO ","4-20 mA","0 bar","2,5 bar","SIEMENS","7MF0350-1G01-5BFO-Z",1,"SINOMA","Z2RM2","-","-","-",,1
"=A51+1","Z2K01PT3","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","PRESSÃO DE ÁGUA DO SISTEMA DE INJEÇÃO DE ÁGUA PARA MOINHO","TRANSMISSOR DE PRESSÃO ","4-20 mA","0 bar","2,5 bar","SIEMENS","7MF0350-1G01-5BFO-Z",1,"SINOMA","Z2RM2","-","-","-",,1
"=A52+1","Z2K01XV","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","COMANDO ABRE / FECHA","VÁLVULA SOLENOIDE","120Vca","-","-","RUNFLOW","BV21DP02F3P21
solenoid valve：ASCO SCG551A001MS",1,"SINOMA","Z2RM2","-","-","-",,1
"=A53+1","Z2K01ZSH","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","POSIÇÃO ABERTA","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","RUNFLOW","Com a válvula
BOX:ALS-200M2",,,,"-","-","-",,1
"=A54+1","Z2K01ZSL","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","POSIÇÃO FECHADA","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-",,,,,,"-","-","-",,1
"=A55+1","Z2K04SP","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","VÁLVULA DE CONTROLE PNEUMÁTICO","SETPOINT","4-20 mA",0%,100%,"RUNFLOW","CVBVSF2S22-DN20",1,"SINOMA","Z2RM2","-","-","-",,1
"=A56+1","Z2K04ZT","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","VÁLVULA DE CONTROLE PNEUMÁTICO","POSIÇÃO","4-20 mA",0%,100%,,,,,,"-","-","-",,1
"=A57+1","Z2K05SP","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","VÁLVULA DE CONTROLE PNEUMÁTICO","SETPOINT","4-20 mA",0%,100%,"RUNFLOW","CVBVSF2S22-DN25",1,"SINOMA","Z2RM2","-","-","-",,1
"=A58+1","Z2K05ZT","-","SISTEMA DE INJEÇÃO DE ÁGUA 
PARA MOINHO - Z2K01","VÁLVULA DE CONTROLE PNEUMÁTICO","POSIÇÃO","4-20 mA",0%,100%,,,,,,"-","-","-",,1
"=A59+1","Z2K06LSL","-","TORRE ALPINA - Z2K06","NÍVEL BAIXO DE ÁGUA","CHAVE DE NÍVEL 
TIPO BOIA","120Vca","-","-","KOBOLD","NKP-2401",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-109","-",,1
"=A60+1","Z2K10LT","-","TANQUE DE ADITIVOS - Z2K10","NÍVEL DO TANQUE","TRANSMISSOR DE NÍVEL
TIPO RADAR","4-20 mA","-","-","VEGA","VEGAPULS 31",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-123","-",,1
"=A61+1","Z2K11LT","-","TANQUE DE ADITIVOS - Z2K11","NÍVEL DO TANQUE","TRANSMISSOR DE NÍVEL
TIPO RADAR","4-20 mA","-","-","VEGA","VEGAPULS 31",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-123","-",,1
"=A62+1","Z2M01LSH","-","MOINHO DE BOLAS - Z2M01","NÍVEL DE SAÍDA DO MOINHO","CHAVE DE NÍVEL","120Vca","-","-","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-107","-",,1
"=A63+1","Z2M01LT1.1","571BM01.XZ1","MOINHO DE BOLAS - Z2M01","NÍVEL DE ENCHIMENTO DE ENTRADA DO MOINHO","TRANSMISSOR DE VIBRAÇÃO","4-20 mA",0%,100%,"DENSYX","MillScan G4",1,"SINOMA","Z2RM5","-","-","-",,1
"=A64+1","Z2M01LT1.2","571BM01.XZ1","MOINHO DE BOLAS - Z2M01","NÍVEL DE ENCHIMENTO DE SAÍDA DO MOINHO","TRANSMISSOR DE VIBRAÇÃO","4-20 mA",0%,100%,"DENSYX","MillScan G4",1,"SINOMA","Z2RM5","-","-","-",,1
"=A65+1","Z2M01LT1Q1","571BM01.XZ1","MOINHO DE BOLAS - Z2M01","NÍVEL DE ENCHIMENTO DO MOINHO","VIBRAÇÃO","4-20 mA",0%,100%,"DENSYX","MillScan G4",1,"SINOMA","Z2RM5","-","-","-",,1
"=A66+1","Z2M01PT1","571BM01.PZ1","MOINHO DE BOLAS - Z2M01","PRESSÃO DE ENTRADA DO MOINHO","TRANSMISSOR DE PRESSÃO","4-20 mA","-0,03 bar","0 bar","SIEMENS","7MF0300-1JE01-5AF2",1,"SINOMA","Z2RM2","-","-","-",,1
"=A67+1","Z2M01PT2","571BM01.PZ2","MOINHO DE BOLAS - Z2M01","PRESSÃO DE SAÍDA DO MOINHO","TRANSMISSOR DE PRESSÃO","4-20 mA","-0,03 bar","0 bar","SIEMENS","7MF0300-1JE01-5AF2",1,"SINOMA","Z2RM5","-","-","-",,1
"=A68+1","Z2M01TE1","571BM01.TEH","MOINHO DE BOLAS - Z2M01","TEMPERATURA DE SAÍDA","PT-100","RESISTÊNCIA","0°C","400°C","SIEMENS","7MC5516-1LA34-0BA2",1,"SINOMA","Z2RM2","-","-","-",,1
"=A69+1","Z2M01TE2","571BM01.TEJ","MOINHO DE BOLAS - Z2M01","TEMPERATURA DE TIRAGEM","PT-100","RESISTÊNCIA","0°C","400°C","SIEMENS","7MC5516-1LA34-0BA2",1,"SINOMA","Z2RM5","-","-","-",,1
"=A70+1","Z2M01TE3","-","MOINHO DE BOLAS - Z2M01","TEMPERATURA TABIQUE DO MOINHO","SENSOR PT-100 / EMISSOR (WIRELESS HART)","RESISTÊNCIA","-","-","EMERSON","648DX1D1I1WA3WK1B5M5Q4 + 
214C RT SM A1 S3 M 0300 CC",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-114","-",,1
"=A71+1","Z2M01TT3","-","MOINHO DE BOLAS - Z2M01","TEMPERATURA TABIQUE DO MOINHO","RECEPTOR / TRANSMISSOR TEMPERATURA ","-","0°C","150°C","EMERSON","1410S1NA31ND6NA + 781SA1PNANA5WP3",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-114","-",,1
"=A72+1","Z2M01TE4","571BM01.TEI","MOINHO DE BOLAS - Z2M01","TEMPERATURA DE ENTRADA","PT-100","RESISTÊNCIA","0°C","400°C","SIEMENS","7MC5516-1LA34-0BA2",1,"SINOMA","Z2RM5","-","-","-",,1
