,,,,,,,"CLIENTE:","=$CAPA.G27",,,," PROJETO:","=$CAPA.A31",,,"VERIFICADO:","ALEXANDRE MANDUCA",
"=A73+1","Z2SKFQ2","-","REDUTOR DO MOINHO - Z2M02","SISTEMA SKF","PAINEL DO SISTEMA SKF","4-20 mA","-","-","SKF","2 x IMX-8",16,"VOTORANTIM","Z2CLP1","-","-","SINAIS COLETADOS VIA REDE
- 2 UNIDADES TRANSMISSOR DE VIBRAÇÃO EIXO DE ENTRADA AXIAL
- 6 UNIDADES TRANSMISSOR DE VIBRAÇÃO EIXO DE INTERMEDIÁRIOS RADIAL
- 2 UNIDADES TRANSMISSOR DE VIBRAÇÃO EIXO SUPERIOR AXIAL
- 2 UNIDADES TRANSMISSOR DE VIBRAÇÃO EIXO SUPERIOR RADIAL
- 2 UNIDADES TRANSMISSOR DE VIBRAÇÃO EIXO INFERIOR AXIAL
- 2 UNIDADES TRANSMISSOR DE VIBRAÇÃO EIXO INFERIOR RADIAL",,1
"=A74+1","Z2M02TE1","571AD01.TE1","REDUTOR DO MOINHO - Z2M02","TEMPERATURA DO REDUTOR - 1","PT-100","RESISTÊNCIA","0°C","150°C","Nanjing Hengrun","WZP-MK-2-B6-0110-IP65-C4H",1,"SINOMA","Z2RM4","-","-","-",,1
"=A75+1","Z2M02TE2","571AD01.TE2","REDUTOR DO MOINHO - Z2M02","TEMPERATURA DO REDUTOR - 2","PT-100","RESISTÊNCIA","0°C","150°C","Nanjing Hengrun","WZP-MK-2-B6-0110-IP65-C4H",1,"SINOMA","Z2RM4","-","-","-",,1
"=A76+1","Z2M02TE3","571AD01.TE3","REDUTOR DO MOINHO - Z2M02","TEMPERATURA DO REDUTOR - 3","PT-100","RESISTÊNCIA","0°C","150°C","Nanjing Hengrun","WZP-MK-2-B6-0110-IP65-C4H",1,"SINOMA","Z2RM4","-","-","-",,1
"=A77+1","Z2M02TE4","571AD01.TE4","REDUTOR DO MOINHO - Z2M02","TEMPERATURA DO REDUTOR - 4","PT-100","RESISTÊNCIA","0°C","150°C","Nanjing Hengrun","WZP-MK-2-B6-0110-IP65-C4H",1,"SINOMA","Z2RM4","-","-","-",,1
"=A78+1","Z2M02TE5","571AD01.TE5","REDUTOR DO MOINHO - Z2M02","TEMPERATURA DO REDUTOR - 5","PT-100","RESISTÊNCIA","0°C","150°C","Nanjing Hengrun","WZP-MK-2-B6-0110-IP65-C4H",1,"SINOMA","Z2RM4","-","-","-",,1
"=A79+1","Z2M02TE6","571AD01.TE6","REDUTOR DO MOINHO - Z2M02","TEMPERATURA DO REDUTOR - 6","PT-100","RESISTÊNCIA","0°C","150°C","Nanjing Hengrun","WZP-MK-2-B6-0110-IP65-C4H",1,"SINOMA","Z2RM4","-","-","-",,1
"=A80+1","Z2M02TE7","571AD01.TE7","REDUTOR DO MOINHO - Z2M02","TEMPERATURA DO REDUTOR - 7","PT-100","RESISTÊNCIA","0°C","150°C","Nanjing Hengrun","WZP-MK-2-B6-0110-IP65-C4H",1,"SINOMA","Z2RM4","-","-","-",,1
"=A81+1","Z2M02TE8","571AD01.TE8","REDUTOR DO MOINHO - Z2M02","TEMPERATURA DO REDUTOR - 8","PT-100","RESISTÊNCIA","0°C","150°C","Nanjing Hengrun","WZP-MK-2-B6-0110-IP65-C4H",1,"SINOMA","Z2RM4","-","-","-",,1
"=A82+1","Z2M02TE9","-","REDUTOR DO MOINHO - Z2M02","TEMPERATURA 1 DO EIXO SUPERIOR","PT-100","RESISTÊNCIA","0°C","150°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z10RM4","-","-","-",,4
"=A83+1","Z2M02TE10","-","REDUTOR DO MOINHO - Z2M02","TEMPERATURA 2 DO EIXO SUPERIOR","PT-100","RESISTÊNCIA","0°C","150°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z10RM4","-","-","-",,4
"=A84+1","Z2M02TE11","-","REDUTOR DO MOINHO - Z2M02","TEMPERATURA 3 DO EIXO SUPERIOR","PT-100","RESISTÊNCIA","0°C","150°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z10RM4","-","-","-",,4
"=A85+1","Z2M02TE12","-","REDUTOR DO MOINHO - Z2M02","TEMPERATURA 4 DO EIXO SUPERIOR","PT-100","RESISTÊNCIA","0°C","150°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z10RM4","-","-","-",,4
"=A86+1","Z2M02TE13","-","REDUTOR DO MOINHO - Z2M02","TEMPERATURA 1 DO EIXO INFERIOR","PT-100","RESISTÊNCIA","0°C","150°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z10RM4","-","-","-",,4
"=A87+1","Z2M02TE14","-","REDUTOR DO MOINHO - Z2M02","TEMPERATURA 2 DO EIXO INFERIOR","PT-100","RESISTÊNCIA","0°C","150°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z10RM4","-","-","-",,4
"=A88+1","Z2M02TE15","-","REDUTOR DO MOINHO - Z2M02","TEMPERATURA 3 DO EIXO INFERIOR","PT-100","RESISTÊNCIA","0°C","150°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z10RM4","-","-","-",,4
"=A89+1","Z2M02TE16","-","REDUTOR DO MOINHO - Z2M02","TEMPERATURA 4 DO EIXO INFERIOR","PT-100","RESISTÊNCIA","0°C","150°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z10RM4","-","-","-",,4
"=A90+1","Z2M02XT17","571AD01.VZ1","REDUTOR DO MOINHO - Z2M02","VIBRAÇÃO SUPERIOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM4","-","-","-",,5
"=A91+1","Z2M02XT18","-","REDUTOR DO MOINHO - Z2M02","VIBRAÇÃO LATERAL","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","10 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-106","-",,5
"=A92+1","Z2M02ZT","-","REDUTOR DO MOINHO - Z2M02","DELOCAMENTO AXIAL","TRANSMISSOR DE POSIÇÃO","4-20 mA","-","-","IFM","IG6083",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-115","-",,1
"=A93+1","Z2SKFQ1","-","MOTOR PRINCIPAL DO MOINHO - Z2M03","SISTEMA SKF","PAINEL DO SISTEMA SKF","4-20 mA","-","-","SKF","IMX-8",2,"VOTORANTIM","Z2CLP1","-","-","SINAIS COLETADOS VIA REDE
- 1 UNIDADE TRANSMISSOR DE VIBRAÇÃO LA
- 1 UNIDADE TRANSMISSOR DE VIBRAÇÃO LOA",,1
"=A94+1","Z2M03M1TE1","571BM01.TE9 / A","MOTOR PRINCIPAL DO MOINHO - Z2M03","TEMPERATURA FASE R","PT-100","RESISTÊNCIA","0°C","200°C","PENDENTE SINOMA","PENDENTE SINOMA",2,"SINOMA","Z2RM4","-","-","-",,1
"=A95+1","Z2M03M1TE2","571BM01.TEB / C","MOTOR PRINCIPAL DO MOINHO - Z2M03","TEMPERATURA FASE S","PT-100","RESISTÊNCIA","0°C","200°C","PENDENTE SINOMA","PENDENTE SINOMA",2,"SINOMA","Z2RM4","-","-","-",,1
"=A96+1","Z2M03M1TE3","571BM01.TED / E","MOTOR PRINCIPAL DO MOINHO - Z2M03","TEMPERATURA FASE T","PT-100","RESISTÊNCIA","0°C","200°C","PENDENTE SINOMA","PENDENTE SINOMA",2,"SINOMA","Z2RM4","-","-","-",,1
"=A97+1","Z2M03M1TE4","571BM01.TEF","MOTOR PRINCIPAL DO MOINHO - Z2M03","TEMPERATURA LADO DO ACOPLAMENTO","PT-100","RESISTÊNCIA","0°C","200°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z2RM4","-","-","-",,1
"=A98+1","Z2M03M1TE5","571BM01.TEG","MOTOR PRINCIPAL DO MOINHO - Z2M03","TEMPERATURA LADO OPOSTO ACOPLAMENTO","PT-100","RESISTÊNCIA","0°C","200°C","PENDENTE SINOMA","PENDENTE SINOMA",1,"SINOMA","Z2RM4","-","-","-",,1
"=A99+1","Z2M03M1XT3","571BM01.VZ1","MOTOR PRINCIPAL DO MOINHO - Z2M03","VIBRAÇÃO DO MANCAL DO MOTOR - LADO OPOSTO ACOPLAMENTO","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM4","-","-","-",,1
"=A100+1","Z2M03M1XT4","571BM01.VZ2","MOTOR PRINCIPAL DO MOINHO - Z2M03","VIBRAÇÃO DO MANCAL DO MOTOR - LADO DO ACOPLAMENTO","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","10 mm/s","IFM","VTV122",1,"SINOMA","Z2RM4","-","-","-",,1
"=A101+1","Z2M03M2ZS1","571BL01.ZS1","ESCOVA DE ELEVAÇÃO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q2","-","FIM DE CURSO","120Vca","-","-","-","-",1,"SINOMA","Z2RM4","-","-","-",,1
"=A102+1","Z2M03M2ZS2","571BL01.ZS2","ESCOVA DE ELEVAÇÃO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q2","-","FIM DE CURSO","120Vca","-","-","-","-",1,"SINOMA","Z2RM4","-","-","-",,1
"=A103+1","Z2M03M2ZS3","571BL01.ZS3","ESCOVA DE ELEVAÇÃO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q2","-","FIM DE CURSO","120Vca","-","-","-","-",1,"SINOMA","Z2RM4","-","-","-",,1
"=A104+1","Z2M03M2ZS4","571BL01.ZS4","ESCOVA DE ELEVAÇÃO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q2","-","FIM DE CURSO","120Vca","-","-","-","-",1,"SINOMA","Z2RM4","-","-","-",,1
"=A105+1","Z2M03M2ZS5","571BL01.ZS5","ESCOVA DE ELEVAÇÃO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q2","-","FIM DE CURSO","120Vca","-","-","-","-",1,"SINOMA","Z2RM4","-","-","-",,1
"=A106+1","Z2M03M2ZS6","571BL01.ZS6","ESCOVA DE ELEVAÇÃO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q2","-","FIM DE CURSO","120Vca","-","-","-","-",1,"SINOMA","Z2RM4","-","-","-",,1
"=A107+1","Z2M03M2ZS7","571BL01.ZS7","ESCOVA DE ELEVAÇÃO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q2","-","FIM DE CURSO","120Vca","-","-","-","-",1,"SINOMA","Z2RM4","-","-","-",,1
"=A108+1","Z2M03M2ZS8","571BL01.ZS8","ESCOVA DE ELEVAÇÃO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q2","-","FIM DE CURSO","120Vca","-","-","-","-",1,"SINOMA","Z2RM4","-","-","-",,1
"=A109+1","Z2M03Q1LSH","-","REOSTATO LÍQUIDO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q1","NÍVEL ALTO DO TANQUE","CHAVE DE NÍVEL 
TIPO BOIA","120Vca","-","-","FAST","FAST-150LP-2A2+2A1",1,"SINOMA","Z2RM4","-","-","SINAIS COLETADOS VIA REDE
Um sensor, duas posições",,1
"=A110+1","Z2M03Q1LSL","-","REOSTATO LÍQUIDO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q1","NÍVEL BAIXO DO TANQUE","CHAVE DE NÍVEL 
TIPO BOIA","120Vca","-","-",,,,,,,,,,
"=A111+1","Z2M03Q1TE","-","REOSTATO LÍQUIDO DO MOTOR
 PRINCIPAL DO MOINHO - Z2M03Q1","TEMPERATURA DO TANQUE","PT-100","RESISTÊNCIA","-","-","F&B","Pt100 L=250",1,"SINOMA","Z2RM4","-","-","SINAIS COLETADOS VIA REDE",,1
"=A112+1","Z2M04M1TSH","571BM01AD01.TS1~3","MOTOR AUXILIAR GIRO LENTO - Z2M04","TEMPERATURA ALTA DO MOTOR DE GIRO LENTO","TERMOSTATO","120Vca","-","-","Dandong Keliang","WZP",3,"SINOMA","Z2RM4","-","-","-",,1
"=A113+1","Z2M04M1ZS","571BM01AD01.ZS1","MOTOR AUXILIAR GIRO LENTO - Z2M04","FREIO ABERTO GIRO LENTO","FIM DE CURSO","120Vca","-","-","Schneider","XS618B1MAL2  ",1,"SINOMA","Z2RM4","-","-","-",,1
"=A114+1","Z2M04M1ZSH","-","MOTOR AUXILIAR GIRO LENTO - Z2M04","ROTAÇÃO LENTA ACOPLADA","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-103","-",,1
"=A115+1","Z2M04M1ZSL","-","MOTOR AUXILIAR GIRO LENTO - Z2M04","GIRO LENTO DESACOPLADO","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-103","-",,1
"=A116+1","Z2M05FSL","-","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","FLUXO DE ÁGUA 
SISTEMA DE ARREFECIMENTO ","FLUXOSTATO","120Vca","-","-","IFM","SI5006",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-113","-",,1
"=A117+1","Z2M05FT1","-","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","VAZÃO 1 DE ÓLEO DA BOMBA DE BAIXA PRESSÃO NO MANCAL DE ENTRADA","TRANSMISSOR DE VAZÃO ","4-20 mA","-","-","IFM","SI0551",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-116","-",,1
"=A118+1","Z2M05FT2","-","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","VAZÃO 2 DE ÓLEO DA BOMBA DE BAIXA PRESSÃO NO MANCAL DE ENTRADA","TRANSMISSOR DE VAZÃO ","4-20 mA","-","-","IFM","SI0551",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-116","-",,1
"=A119+1","Z2M05LSL","571LQ01.LS1","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","NÍVEL BAIXO DE ÓLEO NO TANQUE","CHAVE DE NÍVEL","120Vca","-","-","KSR","ZNJC03030701",1,"SINOMA","Z2RM2","-","-","Um sensor, duas posições",,1
"=A120+1","Z2M05LSLL","571LQ01.LS1","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","NÍVEL MUITO BAIXO DE ÓLEO NO TANQUE","CHAVE DE NÍVEL","120Vca","-","-",,,,,,,,,,
"=A121+1","Z2M05PDSH","571LQ01.PS1","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","ENTUPIMENTO DO FILTRO DE ÓLEO","PRESSOSTATO DIFERENCIAL","120Vca","-","-","CCS","ZNJC01030101",1,"SINOMA","Z2RM2","-","-","-",,1
"=A122+1","Z2M05PT1","571LQ01.PZ1","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","PRESSÃO DE ÓLEO
LINHA DE BAIXA PRESSÃO","TRANSMISSOR DE PRESSÃO","4-20 mA","0 bar","400 bar","Siemens","7MF1567",1,"SINOMA","Z2RM2","-","-","-",,1
"=A123+1","Z2M05TE1","571LQ01.TE1","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","TEMPERATURA DE ÓLEO
TANQUE DE ÓLEO","PT-100","RESISTÊNCIA","-50°C","150°C","Siemens","7MC5516",1,"SINOMA","Z2RM2","-","-","-",,1
"=A124+1","Z2M05TE2","571LQ01.TE2","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","TEMPERATURA DE ÓLEO
LINHA BAIXA PRESSÃO","PT-100","RESISTÊNCIA","-50°C","150°C","Siemens","7MC5516",1,"SINOMA","Z2RM2","-","-","-",,1
"=A125+1","Z2M05XV","-","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","VÁLVULA ON/OFF
SISTEMA DE ARREFECIMENTO","VÁLVULA SOLENOIDE","120Vca","-","-","Festo","VZWF-B-L-M22C-G34-275-2AP4-6-R1",1,"VOTORANTIM","Z2RM2","-","ED-I-Z2000-111","-",,1
"=A126+1","Z2M05PT2","571LQ01.PZ2","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","PRESSÃO DE ÓLEO
LINHA DE ALTA PRESSÃO","TRANSMISSOR DE PRESSÃO","4-20 mA","0 bar","400 bar","Siemens","7MF1567",1,"SINOMA","Z2RM2","-","-","-",,1
"=A127+1","Z2M05PT3","571LQ01.PZ3","UNIDADE DE LUBRIFICAÇÃO 
MANCAL DE ENTRADA DO MOINHO - Z2M05","PRESSÃO DE ÓLEO
LINHA DE ALTA PRESSÃO","TRANSMISSOR DE PRESSÃO","4-20 mA","0 bar","10 bar","Siemens","7MF1567",1,"SINOMA","Z2RM2","-","-","-",,1
"=A128+1","Z2M10FSL","-","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","FLUXO DE ÁGUA 
SISTEMA DE ARREFECIMENTO ","FLUXOSTATO","120Vca","-","-","IFM","SI5006",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-113","-",,1
"=A129+1","Z2M10FT1","-","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","VAZÃO 1 DE ÓLEO DA BOMBA DE BAIXA PRESSÃO NO MANCAL DE ENTRADA","TRANSMISSOR DE VAZÃO ","4-20 mA","-","-","IFM","SI0551",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-116","-",,1
"=A130+1","Z2M10FT2","-","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","VAZÃO 2 DE ÓLEO DA BOMBA DE BAIXA PRESSÃO NO MANCAL DE ENTRADA","TRANSMISSOR DE VAZÃO ","4-20 mA","-","-","IFM","SI0551",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-116","-",,1
"=A131+1","Z2M10LSL","-","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","NÍVEL BAIXO DE ÓLEO NO TANQUE","CHAVE DE NÍVEL","120Vca","-","-","KSR","ZNJC03030701",1,"SINOMA","Z2RM5","-","-","Um sensor, duas posições",,1
"=A132+1","Z2M10LSLL","-","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","NÍVEL ALTO DE ÓLEO NO TANQUE","CHAVE DE NÍVEL","120Vca","-","-",,,,,,,,,,
"=A133+1","Z2M10PDSH","571LQ02.PS1","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","ENTUPIMENTO DO FILTRO DE ÓLEO","PRESSOSTATO DIFERENCIAL","120Vca","-","-","CCS","ZNJC01030101",1,"SINOMA","Z2RM5","-","-","-",,1
"=A134+1","Z2M10PT1","571LQ02.PZ1","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","PRESSÃO DE ÓLEO
LINHA DE BAIXA PRESSÃO","TRANSMISSOR DE PRESSÃO","4-20 mA","0 bar","400 bar","Siemens","7MF1567",1,"SINOMA","Z2RM5","-","-","-",,1
"=A135+1","Z2M10TE1","571LQ02.TE1","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","TEMPERATURA DE ÓLEO
TANQUE DE ÓLEO","PT-100","RESISTÊNCIA","0°C","100°C","Siemens","7MC5516",1,"SINOMA","Z2RM5","-","-","-",,1
"=A136+1","Z2M10TE2","571LQ02.TE2","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","TEMPERATURA DE ÓLEO
LINHA BAIXA PRESSÃO","PT-100","RESISTÊNCIA","0°C","100°C","Siemens","7MC5516",1,"SINOMA","Z2RM5","-","-","-",,1
"=A137+1","Z2M10XV","-","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","VÁLVULA ON/OFF
SISTEMA DE ARREFECIMENTO","VÁLVULA SOLENOIDE","120Vca","-","-","Festo","VZWF-B-L-M22C-G34-275-2AP4-6-R1",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-111","-",,1
"=A138+1","Z2M10PT2","571LQ02.PZ2","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","PRESSÃO DE ÓLEO
LINHA DE ALTA PRESSÃO","TRANSMISSOR DE PRESSÃO","4-20 mA","0 bar","400 bar","Siemens","7MF1567",1,"SINOMA","Z2RM5","-","-","-",,1
"=A139+1","Z2M10PT3","571LQ02.PZ3","UNIDADE DE LUBRIFICAÇÃO
MANCAL DE SAÍDA DO MOINHO - Z2M10","PRESSÃO DE ÓLEO
LINHA DE ALTA PRESSÃO","TRANSMISSOR DE PRESSÃO","4-20 mA","0 bar","10 bar","Siemens","7MF1567",1,"SINOMA","Z2RM5","-","-","-",,1
"=A140+1","Z2M15CO","-","UNIDADE DE LUBRIFICAÇÃO DO REDUTOR - Z2M15","CONTADOR DE PARTÍCULAS DO ÓLEO","CONTADOR DE PARTÍCULAS","4-20 mA","-","-","IFM","LDP100",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-121","-",,1
"=A141+1","Z2M15FSL1","-","UNIDADE DE LUBRIFICAÇÃO DO REDUTOR - Z2M15","FLUXO DE ÁGUA 
SISTEMA DE ARREFECIMENTO ","FLUXOSTATO","120Vca","-","-","IFM","SI5006",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-113","-",,1
"=A142+1","Z2M15FSL2","-","UNIDADE DE LUBRIFICAÇÃO DO REDUTOR - Z2M15","FLUXO DE ÓLEO","FLUXOSTATO","120Vca","-","-","IFM","SI5006",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-113","-",,1
"=A143+1","Z2M15FT","-","UNIDADE DE LUBRIFICAÇÃO DO REDUTOR - Z2M15","VAZÃO DE ÓLEO","TRANSMISSOR DE VAZÃO ","4-20 mA","-","-","ELETTA","D5-FLSS125, Oil, D/L, 200-1000 l/min",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-116","-",,1
"=A144+1","Z2M15LSL","-","UNIDADE DE LUBRIFICAÇÃO DO REDUTOR - Z2M15","NÍVEL BAIXO DE ÓLEO NO TANQUE","CHAVE DE NÍVEL","120Vca","-","-","KSR","ZNJC03030701",1,"SINOMA","Z2RM4","-","-","-",,1
"=A145+1","Z2M15LSLL","-","UNIDADE DE LUBRIFICAÇÃO DO REDUTOR - Z2M15","NÍVEL ALTO DE ÓLEO NO TANQUE","CHAVE DE NÍVEL","120Vca","-","-",,,,,,,,,,
"=A146+1","Z2M15LT","-","UNIDADE DE LUBRIFICAÇÃO DO REDUTOR - Z2M15","NÍVEL DE ÓLEO NO TANQUE","TRANSMISSOR DE NÍVEL","4-20 mA","-","-","IFM","LR3000",1,"VOTORANTIM","Z2RM4","-","ED-I-Z2000-118","-",,1
